Pergeseran ke,Periode,Nilai,Tanggal
96,ALL,"Rp1,263.97",10 Mei 21
96,3M,"Rp1,462.04",12 Des 24
96,1M,"Rp1,468.66",10 Jan 25
96,YTD,"Rp1,469.33",13 Jan 25
96,3Y,"Rp1,367.83",21 Agt 23
99,5Y,"Rp1,317.45",7 Okt 22
97,ALL,"Rp1,265.96",27 Mei 21
97,3M,"Rp1,462.04",12 Des 24
97,1M,"Rp1,468.66",10 Jan 25
97,YTD,"Rp1,469.33",13 Jan 25
97,3Y,"Rp1,368.46",28 Agt 23
100,5Y,"Rp1,318.60",18 Okt 22
98,3M,"Rp1,462.63",13 Des 24
